Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Conference
1,Alaa Abdelnaby\abdelal01,PF,22,POR,43,290,13.1,0.499,0.0,0.379,10.4,23.4,17.0,5.8,0.7,2.5,14.0,22.1,,0.0,0.5,0.5,0.079,,-4.2,-0.7,-5.0,-0.2,West
2,Mahmoud Abdul-Rauf\abdulma02,PG,21,DEN,67,1505,12.2,0.44799999999999995,0.099,0.09699999999999999,1.9,6.0,3.8,19.2,1.5,0.1,9.5,27.2,,-0.7,-0.3,-1.0,-0.031,,-1.7,-4.4,-6.1,-1.6,West
3,Mark Acres\acresma01,C,28,ORL,68,1313,9.2,0.551,0.013999999999999999,0.47200000000000003,11.3,18.7,14.9,2.5,0.9,1.1,14.0,9.3,,1.4,1.1,2.5,0.09,,-2.1,0.3,-1.8,0.1,West
4,Michael Adams\adamsmi01,PG,28,DEN,66,2346,22.3,0.53,0.397,0.37200000000000005,2.1,8.8,5.2,39.4,2.6,0.1,12.7,28.5,,5.8,0.4,6.3,0.128,,7.1,-2.7,4.4,3.8,West
5,Mark Aguirre\aguirma01,SF,31,DET,78,2006,16.7,0.526,0.086,0.349,7.6,13.7,10.7,11.6,1.2,0.6,10.9,25.7,,2.8,2.7,5.5,0.132,,0.9,-0.3,0.7,1.4,East
6,Danny Ainge\aingeda01,SG,31,POR,80,1710,17.0,0.574,0.35200000000000004,0.193,2.9,10.2,6.6,23.8,1.8,0.5,11.4,20.8,,4.1,2.1,6.2,0.175,,3.4,-0.6,2.8,2.1,West
7,Mark Alarie\alarima01,PF,27,WSB,42,587,11.3,0.496,0.09300000000000001,0.213,7.6,14.2,10.9,11.2,1.3,0.8,14.0,20.3,,0.1,0.6,0.6,0.05,,-2.4,-1.1,-3.6,-0.2,East
8,Steve Alford\alforst01,PG,26,DAL,34,236,20.5,0.578,0.19699999999999998,0.265,4.8,6.8,5.8,16.4,1.7,0.3,10.9,27.5,,0.5,0.1,0.6,0.121,,2.4,-3.8,-1.4,0.0,West
9,Greg Anderson\andergr01,PF,26,TOT,68,924,9.1,0.455,0.004,0.426,10.0,25.9,17.3,2.1,1.7,2.7,20.8,16.3,,-1.2,0.9,-0.3,-0.017,,-6.8,-0.8,-7.5,-1.3,NaN
9,Greg Anderson\andergr01,PF,26,MIL,26,247,7.5,0.41,0.013999999999999999,0.384,12.3,24.1,18.1,1.7,1.6,2.3,20.5,18.6,,-0.5,0.4,-0.1,-0.027000000000000003,,-7.8,-1.3,-9.1,-0.4,East
9,Greg Anderson\andergr01,PF,26,NJN,1,18,26.4,1.0,0.0,0.0,22.4,12.1,17.5,9.1,5.4,0.0,20.0,11.2,,0.1,0.0,0.1,0.3,,8.3,2.5,10.9,0.1,East
9,Greg Anderson\andergr01,PF,26,DEN,41,659,9.2,0.46299999999999997,0.0,0.451,8.7,27.0,17.0,2.1,1.6,2.9,20.9,15.6,,-0.8,0.5,-0.3,-0.022000000000000002,,-6.8,-0.6,-7.5,-0.9,West
10,Nick Anderson\anderni01,SG,23,ORL,70,1971,15.1,0.51,0.068,0.302,4.9,16.7,10.7,8.5,1.8,1.3,10.4,22.4,,1.2,1.9,3.1,0.075,,-1.1,0.1,-1.0,0.5,West
